  0.690000009537E+01  0.150008430423E+04  0.100000000000E+01  0.101330454390E+06  0.171526089629E-01
  0.700000000000E+01  0.150009441312E+04  0.100000000000E+01  0.101331110771E+06  0.171508308054E-01
  0.709999990463E+01  0.150010566026E+04  0.100000000000E+01  0.101331841142E+06  0.171488586533E-01
  0.720000028610E+01  0.150011817444E+04  0.100000000000E+01  0.101332653886E+06  0.171466713691E-01
  0.730000019073E+01  0.150013209943E+04  0.100000000000E+01  0.101333558361E+06  0.171442455173E-01
  0.740000009537E+01  0.150014759582E+04  0.100000000000E+01  0.101334565025E+06  0.171415551155E-01
  0.750000000000E+01  0.150016484310E+04  0.100000000000E+01  0.101335685568E+06  0.171385713596E-01
  0.759999990463E+01  0.150018404194E+04  0.100000000000E+01  0.101336933063E+06  0.171352623189E-01
  0.770000028610E+01  0.150020541683E+04  0.100000000000E+01  0.101338322141E+06  0.171315925996E-01
  0.780000019073E+01  0.150022921899E+04  0.100000000000E+01  0.101339869179E+06  0.171275229723E-01
  0.790000009537E+01  0.150025572974E+04  0.100000000000E+01  0.101341592519E+06  0.171230099602E-01
  0.800000000000E+01  0.150028526419E+04  0.100000000000E+01  0.101343512715E+06  0.171180053850E-01
  0.810000038147E+01  0.150031817540E+04  0.100000000000E+01  0.101345652805E+06  0.171124558645E-01
  0.819999980927E+01  0.150035485916E+04  0.100000000000E+01  0.101348038621E+06  0.171063022590E-01
  0.830000019073E+01  0.150039575915E+04  0.100000000000E+01  0.101350699129E+06  0.170994790611E-01
  0.840000057220E+01  0.150044137284E+04  0.100000000000E+01  0.101353666821E+06  0.170919137235E-01
  0.850000000000E+01  0.150049225801E+04  0.100000000000E+01  0.101356978135E+06  0.170835259192E-01
  0.860000038147E+01  0.150054903989E+04  0.100000000000E+01  0.101360673929E+06  0.170742267296E-01
  0.869999980927E+01  0.150061241912E+04  0.100000000000E+01  0.101364800001E+06  0.170639177523E-01
  0.880000019073E+01  0.150068318038E+04  0.100000000000E+01  0.101369407654E+06  0.170524901254E-01
  0.890000057220E+01  0.150076220185E+04  0.100000000000E+01  0.101374554315E+06  0.170398234588E-01
  0.900000000000E+01  0.150085046527E+04  0.100000000000E+01  0.101380304194E+06  0.170257846697E-01
  0.910000038147E+01  0.150094906683E+04  0.100000000000E+01  0.101386728996E+06  0.170102267140E-01
  0.919999980927E+01  0.150105922865E+04  0.100000000000E+01  0.101393908661E+06  0.169929872095E-01
  0.930000019073E+01  0.150118231074E+04  0.100000000000E+01  0.101401932153E+06  0.169738869455E-01
  0.940000057220E+01  0.150131982355E+04  0.100000000000E+01  0.101410898263E+06  0.169527282753E-01
  0.950000000000E+01  0.150147344073E+04  0.100000000000E+01  0.101420916435E+06  0.169292933893E-01
  0.960000038147E+01  0.150164501220E+04  0.100000000000E+01  0.101432107604E+06  0.169033424670E-01
  0.969999980927E+01  0.150183657736E+04  0.100000000000E+01  0.101444605041E+06  0.168746117102E-01
  0.980000019073E+01  0.150205037849E+04  0.100000000000E+01  0.101458555196E+06  0.168428112607E-01
  0.990000057220E+01  0.150228887438E+04  0.100000000000E+01  0.101474118562E+06  0.168076230097E-01
  0.100000000000E+02  0.150255475445E+04  0.100000000000E+01  0.101491470554E+06  0.167686983115E-01
  0.101000003815E+02  0.150285095373E+04  0.100000000000E+01  0.101510802440E+06  0.167256556167E-01
  0.101999998093E+02  0.150318066923E+04  0.100000000000E+01  0.101532322357E+06  0.166780780491E-01
  0.103000001907E+02  0.150354737834E+04  0.100000000000E+01  0.101556256449E+06  0.166255109589E-01
  0.104000005722E+02  0.150395486004E+04  0.100000000000E+01  0.101582850186E+06  0.165674594928E-01
  0.105000000000E+02  0.150440721952E+04  0.100000000000E+01  0.101612369895E+06  0.165033862398E-01
  0.106000003815E+02  0.150490891677E+04  0.100000000000E+01  0.101645104540E+06  0.164327090258E-01
  0.106999998093E+02  0.150546479904E+04  0.100000000000E+01  0.101681367751E+06  0.163547989529E-01
  0.108000001907E+02  0.150608013694E+04  0.100000000000E+01  0.101721500070E+06  0.162689788071E-01
  0.109000005722E+02  0.150676066283E+04  0.100000000000E+01  0.101765871333E+06  0.161745219881E-01
  0.110000000000E+02  0.150751260993E+04  0.100000000000E+01  0.101814883072E+06  0.160706521536E-01
  0.111000003815E+02  0.150834274987E+04  0.100000000000E+01  0.101868970781E+06  0.159565438084E-01
  0.111999998093E+02  0.150925842622E+04  0.100000000000E+01  0.101928605880E+06  0.158313241139E-01
  0.113000001907E+02  0.151026758150E+04  0.100000000000E+01  0.101994297211E+06  0.156940762374E-01
  0.114000005722E+02  0.151137877549E+04  0.100000000000E+01  0.102066591898E+06  0.155438446039E-01
  0.115000000000E+02  0.151260119289E+04  0.100000000000E+01  0.102146075470E+06  0.153796424563E-01
  0.116000003815E+02  0.151394463865E+04  0.100000000000E+01  0.102233371103E+06  0.152004621673E-01
  0.116999998093E+02  0.151541951906E+04  0.100000000000E+01  0.102329137878E+06  0.150052887701E-01
  0.118000001907E+02  0.151703680656E+04  0.100000000000E+01  0.102434067918E+06  0.147931171940E-01
  0.119000005722E+02  0.151880798552E+04  0.100000000000E+01  0.102548882221E+06  0.145629736749E-01
  0.120000000000E+02  0.152074497547E+04  0.100000000000E+01  0.102674324979E+06  0.143139417623E-01
  0.121000003815E+02  0.152286002831E+04  0.100000000000E+01  0.102811156156E+06  0.140451932492E-01
  0.121999998093E+02  0.152516559523E+04  0.100000000000E+01  0.102960142094E+06  0.137560241747E-01
  0.123000001907E+02  0.152767416022E+04  0.100000000000E+01  0.103122043935E+06  0.134458957968E-01
  0.124000005722E+02  0.153039803727E+04  0.100000000000E+01  0.103297603754E+06  0.131144800670E-01
  0.125000000000E+02  0.153334913021E+04  0.100000000000E+01  0.103487528355E+06  0.127617086655E-01
  0.126000003815E+02  0.153653865597E+04  0.100000000000E+01  0.103692470880E+06  0.123878240535E-01
  0.126999998093E+02  0.153997683504E+04  0.100000000000E+01  0.103913010538E+06  0.119934303003E-01
  0.128000001907E+02  0.154367255577E+04  0.100000000000E+01  0.104149631002E+06  0.115795406766E-01
  0.129000005722E+02  0.154763302368E+04  0.100000000000E+01  0.104402698273E+06  0.111476182149E-01
  0.130000000000E+02  0.155186341004E+04  0.100000000000E+01  0.104672439057E+06  0.106996048182E-01
  0.131000003815E+02  0.155636651808E+04  0.100000000000E+01  0.104958920915E+06  0.102379340445E-01
  0.131999998093E+02  0.156114248831E+04  0.100000000000E+01  0.105262035616E+06  0.976552271471E-02
  0.133000001907E+02  0.156618856507E+04  0.100000000000E+01  0.105581487133E+06  0.928573709465E-02
  0.134000005722E+02  0.157149894631E+04  0.100000000000E+01  0.105916785617E+06  0.880233073340E-02
